parameter,value,repetition,seed,n_jobs,m_machines,budget_multiplier,ceiling_runtime,ceiling_nodes,ceiling_pruned_bound,ceiling_pruning_rate,ceiling_makespan,ceiling_status,maxlpt_runtime,maxlpt_nodes,maxlpt_pruned_bound,maxlpt_pruning_rate,maxlpt_makespan,maxlpt_status,match_makespan,node_reduction_pct,speedup
budget,5.6,4,56004,8,4,5.6,0.016996145248413086,0,0,0.0,216.0,success,0.03900003433227539,0,0,0.0,216.0,success,True,,
budget,5.8,0,58000,8,4,5.8,0.024999380111694336,0,0,0.0,880.0,success,0.07358503341674805,0,0,0.0,880.0,success,True,,
budget,5.8,1,58001,8,4,5.8,0.022166728973388672,0,0,0.0,608.0,success,0.048003196716308594,0,0,0.0,608.0,success,True,,
budget,5.8,2,58002,8,4,5.8,0.023000001907348633,0,0,0.0,798.0,success,0.0576784610748291,0,0,0.0,798.0,success,True,,
budget,5.8,3,58003,8,4,5.8,0.02540898323059082,0,0,0.0,460.0,success,0.05600094795227051,0,0,0.0,460.0,success,True,,
budget,5.8,4,58004,8,4,5.8,52.72837162017822,43228,41258,0.9544276857592301,399.0,success,36.01268148422241,16276,15196,0.9336446301302531,399.0,success,True,62.34847783843804,1.4641612189661344
budget,6.0,0,60000,8,4,6.0,0.023001670837402344,0,0,0.0,360.0,success,0.04451155662536621,0,0,0.0,360.0,success,True,,
budget,6.0,1,60001,8,4,6.0,0.01999950408935547,0,0,0.0,665.0,success,0.050507307052612305,0,0,0.0,665.0,success,True,,
budget,6.0,2,60002,8,4,6.0,0.031000614166259766,0,0,0.0,1040.0,success,0.0635068416595459,0,0,0.0,1040.0,success,True,,
budget,6.0,3,60003,8,4,6.0,0.03293490409851074,0,0,0.0,720.0,success,0.08251023292541504,0,0,0.0,720.0,success,True,,
budget,6.0,4,60004,8,4,6.0,0.04452109336853027,0,0,0.0,268.0,success,0.0725107192993164,0,0,0.0,268.0,success,True,,
budget,6.2,0,62000,8,4,6.2,0.02450704574584961,0,0,0.0,440.0,success,0.07000112533569336,0,0,0.0,440.0,success,True,,
budget,6.2,1,62001,8,4,6.2,5.395677328109741,9423,7525,0.7985779475750823,240.0,success,1.2736213207244873,711,414,0.5822784810126582,240.0,success,True,92.45463228271251,4.236484770088853
budget,6.2,2,62002,8,4,6.2,0.024218082427978516,0,0,0.0,442.0,success,0.059000492095947266,0,0,0.0,442.0,success,True,,
budget,6.2,3,62003,8,4,6.2,0.4175117015838623,1458,1298,0.8902606310013718,630.0,success,0.4254164695739746,829,716,0.8636911942098915,630.0,success,True,43.14128943758574,0.9814187541962623
budget,6.2,4,62004,8,4,6.2,0.030321836471557617,0,0,0.0,722.0,success,0.07851076126098633,0,0,0.0,722.0,success,True,,
budget,6.4,0,64000,8,4,6.4,0.021004199981689453,0,0,0.0,475.0,success,0.05801510810852051,0,0,0.0,475.0,success,True,,
budget,6.4,1,64001,8,4,6.4,205.67840003967285,48527,37261,0.7678405835926392,429.0,success,86.94422221183777,5685,2758,0.4851363236587511,429.0,success,True,88.2848723391102,2.3656362068377788
